id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
108-1-CCD-A010-A-1-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,A010,A,大學部,1,A,素描,3,必,62,50,,12,康錦樹,,,"2,3, 4",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修及外加,教室-工坊塑造教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=A010,2026-08-26T18:22:10+00:00
108-1-CCD-A011-A-1-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,A011,A,大學部,1,A,色彩學,2,必,60,46,,14,洪碩延,H1--108,,,,"5,6",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修,上課教室：H1-108教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=A011,2026-08-26T18:22:10+00:00
108-1-CCD-A020-A-1-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,A020,A,大學部,1,A,圖學,2,必,57,48,,9,翁群儀,H1--108,,"10,11",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""10"", ""11""], ""raw"": ""10,11""}]",,H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=A020,2026-08-26T18:22:10+00:00
108-1-CCD-A03A-A-1-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,A03A,A,大學部,1,A,基礎雕塑(一)-A,3,必,28,20,,8,沈明旺,,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,教室-工坊木竹教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=A03A,2026-08-26T18:22:10+00:00
108-1-CCD-A03B-A-1-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,A03B,A,大學部,1,A,基礎雕塑(一)-B,3,必,28,27,,1,康錦樹,,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,教室:工坊塑造教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=A03B,2026-08-26T18:22:10+00:00
108-1-CCD-A04A-A-1-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,A04A,A,大學部,1,A,基本造型構成(一),3,必,60,49,,11,黃裕宸 陳冠勳,,,,,,"5,6, 7,8",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""5"", ""6"", ""7"", ""8""], ""raw"": ""5,6, 7,8""}]",限修,教室:大一工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=A04A,2026-08-26T18:22:10+00:00
108-1-CCD-A501-A-1-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,A501,A,大學部,1,A,設計媒材,2,選,32,32,,0,賴廷鴻 王政弘,,,"5,6",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",外加,教室:大一工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=A501,2026-08-26T18:22:10+00:00
108-1-CCD-A511-A-1-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,A511,A,大學部,1,A,電腦繪圖,2,選,32,32,,0,王政弘,H1--112,,,,,"2,3, 4",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修及外加,教室:H1-112,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=A511,2026-08-26T18:22:10+00:00
108-1-CCD-B010-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B010,A,大學部,2,A,創意設計(一),3,必,51,39,,12,黃裕宸 陳冠勳,,,"2,3, 4,Y",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4"", ""Y""], ""raw"": ""2,3, 4,Y""}]",先修 限修及外加,教室:大二工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B010,2026-08-26T18:22:10+00:00
108-1-CCD-B021-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B021,A,大學部,2,A,現代設計史,2,必,50,42,,8,洪碩延,H1--108,,,"5,6",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修,教室:H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B021,2026-08-26T18:22:10+00:00
108-1-CCD-B022-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B022,A,大學部,2,A,美術與工藝史,2,必,50,40,,10,陳冠勳,H1--104,"3,4",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,H1-104,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B022,2026-08-26T18:22:10+00:00
108-1-CCD-B031-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B031,A,大學部,2,A,基礎攝影,2,必,50,40,,10,侯淑姿,H1--108,,,,"3,4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",限修,教室:H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B031,2026-08-26T18:22:10+00:00
108-1-CCD-B510-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B510,A,大學部,2,A,版面編排設計,2,選,40,34,,6,黃裕宸,,,"5,6",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",,教室:大二工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B510,2026-08-26T18:22:10+00:00
108-1-CCD-B521-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B521,A,大學部,2,A,傳統圖案研究,2,選,40,21,,19,沈明旺,H1--108,,,"3,4",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,教室:H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B521,2026-08-26T18:22:10+00:00
108-1-CCD-B531-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B531,A,大學部,2,A,設計議題,2,選,26,26,,0,翁群儀,,,,"9,10",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""9"", ""10""], ""raw"": ""9,10""}]",外加,教室:大二工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B531,2026-08-26T18:22:10+00:00
108-1-CCD-B541-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B541,A,大學部,2,A,創意數位設計(一),3,選,25,21,,4,王政弘,H1--112,,,,,"5,6, 7,8",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""5"", ""6"", ""7"", ""8""], ""raw"": ""5,6, 7,8""}]",限修,H1-112,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B541,2026-08-26T18:22:10+00:00
108-1-CCD-B542-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B542,A,大學部,2,A,創意視覺設計 (一),3,選,27,27,,0,黃裕宸,H1--112,"5,6, 7,8",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""5"", ""6"", ""7"", ""8""], ""raw"": ""5,6, 7,8""}]",外加,H1-112,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B542,2026-08-26T18:22:10+00:00
108-1-CCD-B551-A-2-A,108,1,人文社會科學院,CCD,工藝與創意設計學系,B551,A,大學部,2,A,工藝設計(一),3,選,45,45,,0,賴廷鴻 沈明旺 陳冠勳,,,,,"5,6, 7,8, 9,10",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6"", ""7"", ""8"", ""9"", ""10""], ""raw"": ""5,6, 7,8, 9,10""}]",限修及外加,教室:大二工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CCD&Cono=B551,2026-08-26T18:22:10+00:00
108-1-CDA-B64G-A-3-A,108,1,人文社會科學院,CDA,創意設計與建築學系,B64G,A,大學部,3,A,塑性媒材創作(三),3,選,12,12,,0,康錦樹,,,,,,"2,3, 4",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,創意設計組選修；教室-工坊塑造教室。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CDA&Cono=B64G,2026-08-26T18:22:10+00:00
108-1-CDA-B64I-A-3-A,108,1,人文社會科學院,CDA,創意設計與建築學系,B64I,A,大學部,3,A,金屬媒材創作(三),3,選,15,12,,3,賴廷鴻,,,,"11,12, 13",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""11"", ""12"", ""13""], ""raw"": ""11,12, 13""}]",,創意設計組選修；教室-工坊金工教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CDA&Cono=B64I,2026-08-26T18:22:10+00:00
108-1-CDA-C001-A-3-A,108,1,人文社會科學院,CDA,創意設計與建築學系,C001,A,大學部,3,A,創意設計(三),3,必,40,27,,13,洪碩延,H1--107,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",先修 限修,教室:H1-107,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CDA&Cono=C001,2026-08-26T18:22:10+00:00
108-1-CDA-C011-A-3-A,108,1,人文社會科學院,CDA,創意設計與建築學系,C011,A,大學部,3,A,現代設計史,2,必,40,30,,10,洪碩延,H1--108,,,"7,8",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}]",限修,創意設計組必修。教室-H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=108&Helf=1&Sclass=CDA&Cono=C011,2026-08-26T18:22:10+00:00
