id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
102-3-KH-C604-A-3-A,102,3,人文社會科學院,KH,運動健康與休閒學系,C604,A,大學部,3,A,健身運動心理學,2,選,1,0,,1,張志成,,,"5,6, 7,8",,"5,6, 7,8",,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6"", ""7"", ""8""], ""raw"": ""5,6, 7,8""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6"", ""7"", ""8""], ""raw"": ""5,6, 7,8""}]",限修及外加,屬第一類課程，限指定同學選課，上課期間：6月24~7月22日，教室：人文院H1-320,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=KH&Cono=C604,2026-08-26T18:11:14+00:00
102-3-WL-C900-A-3-A,102,3,人文社會科學院,WL,西洋語文學系,C900,A,大學部,3,A,產學實習,2,選,20,2,,18,歐馨雲,,,,"5,6",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修,屬第二類課程，本課程總實習時數須達162小時。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=WL&Cono=C900,2026-08-26T18:11:14+00:00
102-3-CC-035E-A-1-A,102,3,共同與通識課程,CC,核心通識,035E,A,大學部,1,A,服務學習-國際服務,3,選,0,8,,0,陳德興,L01-107,"2,3, 4,5, 6,7","2,3, 4,5",,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""2,3, 4,5, 6,7""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4"", ""5""], ""raw"": ""2,3, 4,5""}]",,屬第二類課程，校內上課0702-0715；校外實習0717-0802(限參加印尼國際志工團之同學選修，由教師指定加簽)。教室：圖資館L01-107電腦教室。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=CC&Cono=035E,2026-08-26T18:11:14+00:00
102-3-GR-SA51-A-2-A,102,3,共同與通識課程,GR,共同必修系列,SA51,A,大學部,2,A,體育(三)-籃球A,0,必,16,0,,16,宋洪經,,"2,3, 4",,"2,3, 4",,"2,3, 4",,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,上課期間：7/2~7/28週一、三、五(第2~4節)籃球場,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=GR&Cono=SA51,2026-08-26T18:11:14+00:00
102-3-CE-C902-A-3-A,102,3,工學院,CE,土木與環境工程學系,C902,A,大學部,3,A,海外實習,3,選,30,18,,12,袁菁,,"3,4","3,4","3,4","3,4","3,4",,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",限修,屬第二類課程，上課期間：7/9-7/31，本課程總實習時數須達180小時。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=CE&Cono=C902,2026-08-26T18:11:14+00:00
102-3-EE-C900-A-3-A,102,3,工學院,EE,電機工程學系,C900,A,大學部,3,A,校外企業實習(一),3,選,20,4,,16,梁明正,,"2,3","2,3","2,3","2,3","2,3",,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}]",限修,屬第二類課程，本課程總實習時數須達162小時。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=EE&Cono=C900,2026-08-26T18:11:14+00:00
102-3-FL-Q900-F-3-,102,3,法學院,FL,財經法律學系,Q900,F,大學部二年制在職專班,3,,民法實例演習,2,選,100,52,,48,姚志明,,,,,,,"5,6, 7,8",,"[{""day"": 6, ""dayName"": ""星期六"", ""periods"": [""5"", ""6"", ""7"", ""8""], ""raw"": ""5,6, 7,8""}]",,屬第二類課程，自7/5-8/30；每週六13:00-17:00，上課教室：法學院L02-204。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=FL&Cono=Q900,2026-08-26T18:11:14+00:00
102-3-FL-R112-F-3-,102,3,法學院,FL,財經法律學系,R112,F,大學部二年制在職專班,3,,證券交易法,2,必,100,55,,45,姚志明,,,,,,,,"5,6, 7,8","[{""day"": 7, ""dayName"": ""星期日"", ""periods"": [""5"", ""6"", ""7"", ""8""], ""raw"": ""5,6, 7,8""}]",,屬第一類課程，自7/6-8/31；每週日13:00-17:00，上課教室：法學院L02-204。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=FL&Cono=R112,2026-08-26T18:11:14+00:00
102-3-GL-D900-A-4-A,102,3,法學院,GL,政治法律學系,D900,A,大學部,4,A,業界實習,2,選,20,7,,13,賴恆盈,,"1,2","1,2","1,2","1,2","1,2",,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}]",限修,屬第二類課程，實習期間6/30-8/29，本課程總實習時數須達162小時(9週*9小時*2學分)。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=GL&Cono=D900,2026-08-26T18:11:14+00:00
102-3-AM-A500-A-1-A,102,3,理學院,AM,應用數學系,A500,A,大學部,1,A,基礎微積分,3,選,50,32,,18,張惠蘭,C02-406,"3,4, 6,7","3,4, 6,7","3,4",,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""3"", ""4"", ""6"", ""7""], ""raw"": ""3,4, 6,7""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""3"", ""4"", ""6"", ""7""], ""raw"": ""3,4, 6,7""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",禁止外加,本課程屬大一新生暑期先修課程，限本校大一新生選修。上課期間：自103年7月7日起至103年7月29日止(每週一~四第3、4、6、7節)。本課程成績及格者，給予學分，並計入就讀學系（限亞太工商管理學系、金融管理學系、資訊管理學系、應用數學系、應用化學系、生命科學系、土木與環境工程學系、化學工程及材料工程學系等8學系）之最低畢業學分數內。其他學系不列入畢業學分但仍歡迎選修。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=AM&Cono=A500,2026-08-26T18:11:14+00:00
102-3-AP-A03A-A-1-A,102,3,理學院,AP,應用物理學系,A03A,A,大學部,1,A,普通物理學(一),3,必,62,4,,58,余進忠,C02-521,,"3,4, 5,6, 7",,"3,4, 5,6, 7",,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""3,4, 5,6, 7""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""3,4, 5,6, 7""}]",,屬第一類課程，預計6月26日(四)開始上課，每週二、四(第3-7節)，上課節數共計54節。教室：C02-521,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=AP&Cono=A03A,2026-08-26T18:11:14+00:00
102-3-AP-A03B-A-1-A,102,3,理學院,AP,應用物理學系,A03B,A,大學部,1,A,普通物理學（二）,3,必,61,10,,51,胡裕民,C02-107,,,"2,3, 4,5, 6,7",,"2,3, 4,5",,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""2,3, 4,5, 6,7""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4"", ""5""], ""raw"": ""2,3, 4,5""}]",外加,屬第一類課程，預計7月2日(三)開始上課，每週三、五(第2、3、4、5、6、7節)，上課節數共計54節。教室：C02-107,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=AP&Cono=A03B,2026-08-26T18:11:14+00:00
102-3-AP-C02A-A-3-A,102,3,理學院,AP,應用物理學系,C02A,A,大學部,3,A,量子物理(一),3,必,62,21,,41,胡裕民,C02-108,,"2,3, 4,5, 6,7",,"2,3, 4,5",,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""2,3, 4,5, 6,7""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4"", ""5""], ""raw"": ""2,3, 4,5""}]",,屬第一類課程，預計6月26日(四)開始授課，每週二、四(第2、3、4、5、6、7節)，上課節數共計54節。教室：C02-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=AP&Cono=C02A,2026-08-26T18:11:14+00:00
102-3-LS-B091-A-2-A,102,3,理學院,LS,生命科學系,B091,A,大學部,2,A,細胞生物學,3,必,16,4,,12,陳彥澄,,"2,3, 4","2,3, 4,5, 6,7",,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""2,3, 4,5, 6,7""}]",,屬第一類課程，上課期間自7/15-8/21(每週一第2~4節；每週二2~7節)；上課地點：理學院600教室。上課人數若未達16人以上，教師鐘點費由選課學生自行分攤。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=LS&Cono=B091,2026-08-26T18:11:14+00:00
102-3-EBA-N011-E-1-,102,3,管理學院,EBA,高階經營管理碩士在職專班,N011,E,高階經營管理碩士在職專班,1,,高階經營管理專題,3,必,60,31,,29,翁銘章 楊書成,M01-B102,,,,,,"5,6, 7,8, 9,10",,"[{""day"": 6, ""dayName"": ""星期六"", ""periods"": [""5"", ""6"", ""7"", ""8"", ""9"", ""10""], ""raw"": ""5,6, 7,8, 9,10""}]",,高雄班.金門班.越南班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=EBA&Cono=N011,2026-08-26T18:11:14+00:00
102-3-EBA-N061-E-1-,102,3,管理學院,EBA,高階經營管理碩士在職專班,N061,E,高階經營管理碩士在職專班,1,,資訊管理,3,選,80,44,,36,吳建興,M01-B102,,,,,"10,11, 12","2,3, 4",,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""10"", ""11"", ""12""], ""raw"": ""10,11, 12""}, {""day"": 6, ""dayName"": ""星期六"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,高雄班.金門班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=EBA&Cono=N061,2026-08-26T18:11:14+00:00
102-3-EBA-N601-E-1-,102,3,管理學院,EBA,高階經營管理碩士在職專班,N601,E,高階經營管理碩士在職專班,1,,國際財經與法制專題,3,選,60,16,,44,翁銘章 楊書成,M01-B102,,,,,,,"X,1, 2,3, 4,Y","[{""day"": 7, ""dayName"": ""星期日"", ""periods"": [""X"", ""1"", ""2"", ""3"", ""4"", ""Y""], ""raw"": ""X,1, 2,3, 4,Y""}]",,高雄班.金門班.越南班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=EBA&Cono=N601,2026-08-26T18:11:14+00:00
102-3-EBA-N12A-E-2-,102,3,管理學院,EBA,高階經營管理碩士在職專班,N12A,E,高階經營管理碩士在職專班,2,,碩士論文(上)-(金門班),3,必,10,0,,10,莊寶鵰,,,,,,"1,2, 3,4, Y,5, 6,7, 8,9",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""1"", ""2"", ""3"", ""4"", ""Y"", ""5"", ""6"", ""7"", ""8"", ""9""], ""raw"": ""1,2, 3,4, Y,5, 6,7, 8,9""}]",,金門班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=EBA&Cono=N12A,2026-08-26T18:11:14+00:00
102-3-EBA-N12B-E-2-,102,3,管理學院,EBA,高階經營管理碩士在職專班,N12B,E,高階經營管理碩士在職專班,2,,碩士論文(下)-(金門班),3,必,5,2,,3,高蘭芬,,,,,X,X,X,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""X""], ""raw"": ""X""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""X""], ""raw"": ""X""}, {""day"": 6, ""dayName"": ""星期六"", ""periods"": [""X""], ""raw"": ""X""}]",,金門班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=EBA&Cono=N12B,2026-08-26T18:11:14+00:00
102-3-IBA-O513-E-1-,102,3,管理學院,IBA,國際高階經營管理碩士在職專班,O513,E,高階經營管理碩士在職專班,1,,高階經營管理專題,3,必,30,8,,22,翁銘章,,,,,,"10,11, 12","2,3, 4",,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""10"", ""11"", ""12""], ""raw"": ""10,11, 12""}, {""day"": 6, ""dayName"": ""星期六"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,海西班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=IBA&Cono=O513,2026-08-26T18:11:14+00:00
102-3-IBA-O706-E-1-,102,3,管理學院,IBA,國際高階經營管理碩士在職專班,O706,E,高階經營管理碩士在職專班,1,,金融市場與投資,3,選,30,3,,27,翁銘章 黃旭輝,,,,,,,,"5,6, 7,8, 9,10","[{""day"": 7, ""dayName"": ""星期日"", ""periods"": [""5"", ""6"", ""7"", ""8"", ""9"", ""10""], ""raw"": ""5,6, 7,8, 9,10""}]",,海西班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=IBA&Cono=O706,2026-08-26T18:11:14+00:00
102-3-IBA-O716-E-1-,102,3,管理學院,IBA,國際高階經營管理碩士在職專班,O716,E,高階經營管理碩士在職專班,1,,全球競爭力分析,3,選,30,7,,23,李博志,M01-108,,,,,,,"5,6, 7,8, 9,10","[{""day"": 7, ""dayName"": ""星期日"", ""periods"": [""5"", ""6"", ""7"", ""8"", ""9"", ""10""], ""raw"": ""5,6, 7,8, 9,10""}]",,越南班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=102&Helf=3&Sclass=IBA&Cono=O716,2026-08-26T18:11:14+00:00
