id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
104-1-CDA-A001-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,A001,A,大學部,1,A,建築概論,2,必,50,39,,11,陳逸杰,H1--108,,"5,6",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",,教師：陳逸杰老師，教室：H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=A001,2026-08-26T18:13:36+00:00
104-1-CDA-A011-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,A011,A,大學部,1,A,圖學,2,必,62,55,,7,李榮裕,H1--108,,,,,"5,6",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修及外加,學程必修。教室-H1-108教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=A011,2026-08-26T18:13:36+00:00
104-1-CDA-A012-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,A012,A,大學部,1,A,色彩學,2,必,63,50,,13,洪碩延,H1--102,"3,4",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",限修及外加,學程必修。上課教室：H1-102教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=A012,2026-08-26T18:13:36+00:00
104-1-CDA-A02A-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,A02A,A,大學部,1,A,基本設計(一)A,3,必,25,24,,1,林光浩,H1--108,,,,"5,6, 7,8, 9,10",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6"", ""7"", ""8"", ""9"", ""10""], ""raw"": ""5,6, 7,8, 9,10""}]",,教室：H1-108圖學教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=A02A,2026-08-26T18:13:36+00:00
104-1-CDA-A02B-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,A02B,A,大學部,1,A,基本設計(一)B,3,必,33,28,,5,許亦成,H1--108,,,,"5,6, 7,8, 9,10",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6"", ""7"", ""8"", ""9"", ""10""], ""raw"": ""5,6, 7,8, 9,10""}]",限修,學程必修。上課教室：H1-108教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=A02B,2026-08-26T18:13:36+00:00
104-1-CDA-A03A-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,A03A,A,大學部,1,A,基礎雕塑(一)-A,2,必,30,28,,2,沈明旺,,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,學程必修。教室-創建系工坊木竹教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=A03A,2026-08-26T18:13:36+00:00
104-1-CDA-A03B-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,A03B,A,大學部,1,A,基礎雕塑(一)-B,2,必,31,26,,5,康錦樹,,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修及外加,學程必修。創建系工坊塑造教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=A03B,2026-08-26T18:13:36+00:00
104-1-CDA-A041-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,A041,A,大學部,1,A,素描,2,必,60,53,,7,康錦樹,,,"2,3, 4",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,學程必修。創建系工坊素描教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=A041,2026-08-26T18:13:36+00:00
104-1-CDA-A51A-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,A51A,A,大學部,1,A,模型製作(一),2,選,32,28,,4,翁群儀,,,,,,"3,4",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",限修及外加,教室-創建系工坊大型機具室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=A51A,2026-08-26T18:13:36+00:00
104-1-CDA-B562-A-1-A,104,1,人文社會科學院,CDA,創意設計與建築學系,B562,A,大學部,1,A,電腦影像處理,2,選,48,48,,0,王政弘,H1--112,"9,10",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""9"", ""10""], ""raw"": ""9,10""}]",限修及外加,建議同學選修此課程; 教室-H1-112,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=104&Helf=1&Sclass=CDA&Cono=B562,2026-08-26T18:13:36+00:00
