id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
100-1-EL-A011-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A011,A,大學部,1,A,初級日語I,4,必,60,43,,17,陳志文,B01-109 其他教室,"3,4",,"3,4",,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A011,2026-08-26T18:09:37+00:00
100-1-EL-A013-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A013,A,大學部,1,A,基礎日語I,2,必,62,62,,0,何資宜,B01-109,,,,"1,2",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}]",外加,"何資宜,人文商管學程及外語觀光醫療學程",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A013,2026-08-26T18:09:37+00:00
100-1-EL-A033-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A033,A,大學部,1,A,初級日語會話Ⅰ,2,必,60,53,,7,石丸雅邦,B01-107,,,,"5,6",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",,"石丸雅邦,外語觀光醫療學程",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A033,2026-08-26T18:09:37+00:00
100-1-EL-A061-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A061,A,大學部,1,A,初級韓語 Ⅰ,4,必,60,25,,35,李京保,B01-109,,"5,6, 7",2,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2""], ""raw"": ""2""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A061,2026-08-26T18:09:37+00:00
100-1-EL-A062-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A062,A,大學部,1,A,基礎韓語I,2,必,73,58,,15,河凡植,B01-101,,"7,8",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}]",外加,"河凡植,人文商管學程及外語觀光醫療學程",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A062,2026-08-26T18:09:37+00:00
100-1-EL-A081-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A081,A,大學部,1,A,初級韓語會話Ⅰ,2,必,60,24,,36,李京保,B01-B102,,,"3,4",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,外語觀光醫療學程,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A081,2026-08-26T18:09:37+00:00
100-1-EL-A091-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A091,A,大學部,1,A,初級越語 Ⅰ,4,必,60,15,,45,釋行心,B01-108,"3,4","5,6",,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",,"釋行心,人文商管學程及外語觀光醫療學程",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A091,2026-08-26T18:09:37+00:00
100-1-EL-A092-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A092,A,大學部,1,A,基礎越語I,2,必,61,21,,40,陳忠喜,B01-109,,,,"3,4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,陳忠喜,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A092,2026-08-26T18:09:37+00:00
100-1-EL-A111-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A111,A,大學部,1,A,初級越語會話Ⅰ,2,必,61,22,,39,阮氏美香,B01-108,,,"1,2",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}]",,"阮氏美香,外語觀光醫療學程",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A111,2026-08-26T18:09:37+00:00
100-1-EL-A512-A-1-A,100,1,人文社會科學院,EL,東亞語文學系,A512,A,大學部,1,A,日本地理,2,選,60,37,,23,石丸雅邦,B01-107,,,,"7,8",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}]",,石丸雅邦,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=1&Sclass=EL&Cono=A512,2026-08-26T18:09:37+00:00
