id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
093-1-KH-A111-A-1-A,093,1,人文社會科學院,KH,運動健康與休閒學系,A111,A,大學部,1,A,運動與科學,3,必,60,54,,6,王光濤,C01-104,"2,3, 4",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=A111,2026-08-26T18:01:17+00:00
093-1-KH-A121-A-1-A,093,1,人文社會科學院,KH,運動健康與休閒學系,A121,A,大學部,1,A,休閒與遊憩學,3,必,60,56,,4,潘明珠,C01-104,,,,"5,6, 7",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=A121,2026-08-26T18:01:17+00:00
093-1-KH-A13A-A-1-A,093,1,人文社會科學院,KH,運動健康與休閒學系,A13A,A,大學部,1,A,普通生物(動物)學(一),2,必,75,75,,0,劉紹東,K01-202,,,,,"3,4",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=A13A,2026-08-26T18:01:17+00:00
093-1-KH-A141-A-1-A,093,1,人文社會科學院,KH,運動健康與休閒學系,A141,A,大學部,1,A,資訊與網路應用,2,必,60,50,,10,陶幼慧,C01-109,,"3,4",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=A141,2026-08-26T18:01:17+00:00
093-1-KH-A15A-A-1-A,093,1,人文社會科學院,KH,運動健康與休閒學系,A15A,A,大學部,1,A,普通物理學(一),2,必,60,59,,1,馮世維,K01-202,,"6,7",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""6"", ""7""], ""raw"": ""6,7""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=A15A,2026-08-26T18:01:17+00:00
093-1-KH-A16A-A-1-A,093,1,人文社會科學院,KH,運動健康與休閒學系,A16A,A,大學部,1,A,會計學(一),2,必,60,51,,9,楊晴安,C01-104,,,"3,4",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=A16A,2026-08-26T18:01:17+00:00
093-1-KH-A17A-A-1-A,093,1,人文社會科學院,KH,運動健康與休閒學系,A17A,A,大學部,1,A,經濟學(一),2,必,60,51,,9,黃明新,C01-415,,,,"1,2",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=A17A,2026-08-26T18:01:17+00:00
093-1-KH-A18A-A-1-A,093,1,人文社會科學院,KH,運動健康與休閒學系,A18A,A,大學部,1,A,微積分(一),2,必,60,55,,5,陳智雄,C01-415,,,,"3,4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,教師：陳智雄,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=A18A,2026-08-26T18:01:17+00:00
093-1-KH-B141-A-2-A,093,1,人文社會科學院,KH,運動健康與休閒學系,B141,A,大學部,2,A,休閒與遊憩事業行銷管理學,3,必,60,58,,2,潘明珠,C01-103,"2,3, 4",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=B141,2026-08-26T18:01:17+00:00
093-1-KH-B151-A-2-A,093,1,人文社會科學院,KH,運動健康與休閒學系,B151,A,大學部,2,A,人體生理學,3,必,60,54,,6,吳佩芳,K01-202,,,,"7,8, 9",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""7"", ""8"", ""9""], ""raw"": ""7,8, 9""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=093&Helf=1&Sclass=KH&Cono=B151,2026-08-26T18:01:17+00:00
