id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
092-1-KH-A01A-A-1-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A01A,A,大學部,1,A,普通物理(一),2,必,60,56,,4,馮世維,B01-102,,,,,"3,4",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A01A,2026-08-26T17:59:15+00:00
092-1-KH-A02A-A-1-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A02A,A,大學部,1,A,普通生物(動物)學,2,必,60,56,,4,劉紹東,B01-102,,,,"3,4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A02A,2026-08-26T17:59:15+00:00
092-1-KH-A03A-A-1-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A03A,A,大學部,1,A,微積分(一),2,必,120,92,,28,吳宗芳,C01-308,,"6,7",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""6"", ""7""], ""raw"": ""6,7""}]",,大一、大二合班上課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A03A,2026-08-26T17:59:15+00:00
092-1-KH-A04A-A-1-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A04A,A,大學部,1,A,會計學(一),2,必,72,70,,2,林蔚如,B01-102,,,,,"5,6",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A04A,2026-08-26T17:59:15+00:00
092-1-KH-A05A-A-1-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A05A,A,大學部,1,A,經濟學(一),2,必,60,53,,7,楊筑安,C01-212,,"3,4",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A05A,2026-08-26T17:59:15+00:00
092-1-KH-A06A-A-1-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A06A,A,大學部,1,A,統計學(一),2,必,60,53,,7,潘明珠,B01-102,,"1,2",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A06A,2026-08-26T17:59:15+00:00
092-1-KH-A071-A-1-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A071,A,大學部,1,A,運動與科學,3,必,60,57,,3,劉紹東 王光濤,B01-102,"2,3, 4",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,王光濤與劉紹東老師合授。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A071,2026-08-26T17:59:15+00:00
092-1-KH-A081-A-1-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A081,A,大學部,1,A,休閒與遊憩學,3,必,60,58,,2,潘明珠,C01-410,,,"2,3, 4",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A081,2026-08-26T17:59:15+00:00
092-1-KH-A091-A-1-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A091,A,大學部,1,A,資訊與網路應用,2,必,60,52,,8,廖述銘,C01-109,,,,"6,7",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""6"", ""7""], ""raw"": ""6,7""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A091,2026-08-26T17:59:15+00:00
092-1-KH-A03A-A-2-A,092,1,人文社會科學院,KH,運動健康與休閒學系,A03A,A,大學部,2,A,微積分(一),2,必,120,92,,28,吳宗芳,C01-308,,"6,7",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""6"", ""7""], ""raw"": ""6,7""}]",,,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=092&Helf=1&Sclass=KH&Cono=A03A,2026-08-26T17:59:15+00:00
