id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
100-3-WL-B53A-A-2-A,100,3,人文社會科學院,WL,西洋語文學系,B53A,A,大學部,2,A,第二外語：西二(上),2,選,1,0,,1,李優俐,H1--101,,,,,,"2,3, 4","2,3, 4","[{""day"": 6, ""dayName"": ""星期六"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 7, ""dayName"": ""星期日"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",先修 限修,本課程為限修課程不開放外校及外系學生選課，連續上課六週。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=WL&Cono=B53A,2026-08-26T18:09:37+00:00
100-3-WL-C01A-A-3-A,100,3,人文社會科學院,WL,西洋語文學系,C01A,A,大學部,3,A,英語口語訓練(三上)(B),2,必,1,0,,1,傅鈺雯,H1--104,,,,"3,4, 5,6",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""3"", ""4"", ""5"", ""6""], ""raw"": ""3,4, 5,6""}]",限修,本課程為限修課程不開放外校及外系學生選課，連續上課九週。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=WL&Cono=C01A,2026-08-26T18:09:37+00:00
100-3-WL-C01B-A-3-A,100,3,人文社會科學院,WL,西洋語文學系,C01B,A,大學部,3,A,英語口語訓練(三下)(B),2,必,1,0,,1,傅鈺雯,H1--104,,,,"7,8, 9,10",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""7"", ""8"", ""9"", ""10""], ""raw"": ""7,8, 9,10""}]",限修,本課程為限修課程不開放外校及外系學生選課，連續上課九週。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=WL&Cono=C01B,2026-08-26T18:09:37+00:00
100-3-WL-D911-A-4-A,100,3,人文社會科學院,WL,西洋語文學系,D911,A,大學部,4,A,文化研究專題：空間與文化記憶,3,選,1,0,,1,傅鈺雯,H1--101,,,,,"2,3, 4,5, 6,7",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""2,3, 4,5, 6,7""}]",限修,本課程為限修課程不開放外校及外系學生選課，連續上課九週。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=WL&Cono=D911,2026-08-26T18:09:37+00:00
100-3-GR-ME01-A-4-A,100,3,共同與通識課程,GR,共同必修系列,ME01,A,大學部,4,A,進階英文,0,必,40,1,,39,陳信智,L02-105,"5,6, 7",,"5,6, 7",,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}]",先修 禁止外加 限修,7/4~8/13每週6小時連上6週，滿16人始得開課，需繳交基本學分費；如未滿16人，教師鐘點費由選課學生均分負擔。限本校大四以上須重補修學生選修，不開放外校選修。7/2選課截止。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=GR&Cono=ME01,2026-08-26T18:09:37+00:00
100-3-GR-ME02-A-4-A,100,3,共同與通識課程,GR,共同必修系列,ME02,A,大學部,4,A,進階英文,0,必,40,0,,40,陳信智,L02-105,"2,3, 4",,"2,3, 4",,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",先修 禁止外加 限修,7/16起每週6小時連上6週，滿16人始得開課，需繳交基本學分費；如未滿16人，教師鐘點費由選課學生均分負擔。限本校大四以上須重補修學生選修，不開放外校選修。7/13選課截止。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=GR&Cono=ME02,2026-08-26T18:09:37+00:00
100-3-EE-B05A-A-2-A,100,3,工學院,EE,電機工程學系,B05A,A,大學部,2,A,電磁學(一),3,必,1,0,,1,郭馨徽,C01-414,"5,6, 7","2,3, 4",5,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""5""], ""raw"": ""5""}]",,自6/25起至8/1止，星期一5.6.7星期二2.3.4星期三5.6.7，每週9小時共六週，合計54小時。6/22選課截止。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=EE&Cono=B05A,2026-08-26T18:09:37+00:00
100-3-FL-D771-A-4-A,100,3,法學院,FL,財經法律學系,D771,A,大學部,4,A,行政訴訟法實務,2,選,30,0,,30,林石猛,L02-201,,,,,,"1,2, 3,4",,"[{""day"": 6, ""dayName"": ""星期六"", ""periods"": [""1"", ""2"", ""3"", ""4""], ""raw"": ""1,2, 3,4""}]",,上課期間為6月30日至8月25日，滿16人始得開課，須繳交基本學分費；如未滿16人，教師鐘點費由選課學生均分負擔。6/29選課截止。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=FL&Cono=D771,2026-08-26T18:09:37+00:00
100-3-EBA-N011-E-1-,100,3,管理學院,EBA,高階經營管理碩士在職專班,N011,E,高階經營管理碩士在職專班,1,,高階經營管理專題,3,必,100,40,,60,黃英忠,M01-B102,1,1,1,1,1,1,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 6, ""dayName"": ""星期六"", ""periods"": [""1""], ""raw"": ""1""}]",,高雄、金門、法律、上海班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=EBA&Cono=N011,2026-08-26T18:09:37+00:00
100-3-EBA-N031-E-1-,100,3,管理學院,EBA,高階經營管理碩士在職專班,N031,E,高階經營管理碩士在職專班,1,,行銷管理,3,選,60,58,,2,郭英峰 楊書成,M01-B104,1,1,1,1,1,1,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""1""], ""raw"": ""1""}, {""day"": 6, ""dayName"": ""星期六"", ""periods"": [""1""], ""raw"": ""1""}]",,高雄、金門班,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=100&Helf=3&Sclass=EBA&Cono=N031,2026-08-26T18:09:37+00:00
