id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
107-3-DAP-A02B-A-3-A,107,3,人文社會科學院,DAP,運動競技學系,A02B,A,大學部,3,A,專長術科(桌球)-Ⅱ,4,必,1,0,,1,王明月,其他教室,"3,4, 6,7","3,4, 6,7","3,4",,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""3"", ""4"", ""6"", ""7""], ""raw"": ""3,4, 6,7""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""3"", ""4"", ""6"", ""7""], ""raw"": ""3,4, 6,7""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,授課老師：王明月，專長術科（桌球）-I，暑修期間：7/29至8/21,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=DAP&Cono=A02B,2026-08-26T18:18:27+00:00
107-3-KH-A518-A-4-A,107,3,人文社會科學院,KH,運動健康與休閒學系,A518,A,大學部,4,A,運動防護實習,2,選,1,1,,0,章順仁,,Y,Y,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""Y""], ""raw"": ""Y""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""Y""], ""raw"": ""Y""}]",禁止外加 限修,"運動健康促進學群 本課程屬第2類課程。實習總時數需達250小時。限土環系同學選修,請同學至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請作業。",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=KH&Cono=A518,2026-08-26T18:18:27+00:00
107-3-WL-F900-M-1-,107,3,人文社會科學院,WL,西洋語文學系,F900,M,碩士班,1,,企業實習II：外交、觀光與文教,2,選,0,2,,0,傅鈺雯,,,,"5,6",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修,第二類課程，課程總實習時數160小時。請同學至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請作業，人文院教室:H2-221,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=WL&Cono=F900,2026-08-26T18:18:27+00:00
107-3-GR-S17B-A-1-A,107,3,共同與通識課程,GR,共同必修系列,S17B,A,大學部,1,A,體育(二)-東語系,0,選,1,0,,1,許維哲,,"2,3, 4,6, 7,8",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4"", ""6"", ""7"", ""8""], ""raw"": ""2,3, 4,6, 7,8""}]",,1.上課日期：8/12-8/17日起每日上午3節下午3節2.教師鐘點費由選課學生自行負擔。請同學於8/6前至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請並於8/6完成繳費程序。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=GR&Cono=S17B,2026-08-26T18:18:27+00:00
107-3-GR-SA31-A-2-A,107,3,共同與通識課程,GR,共同必修系列,SA31,A,大學部,2,A,體育(三)-羽球A,0,選,1,0,,1,葉天相,,"1,2, 3,4","1,2, 3,4",,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""1"", ""2"", ""3"", ""4""], ""raw"": ""1,2, 3,4""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""1"", ""2"", ""3"", ""4""], ""raw"": ""1,2, 3,4""}]",,1.上課日期：7/29-7/31、8/19-8/28日起每週星期一、二、三上午1-4節2.教師鐘點費由選課學生自行負擔。請同學於7/25前至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請並於7/25完成繳費程序。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=GR&Cono=SA31,2026-08-26T18:18:27+00:00
107-3-GR-ME01-A-4-A,107,3,共同與通識課程,GR,共同必修系列,ME01,A,大學部,4,A,進階英文,0,選,0,29,,0,顏正裕,B01-101,"2,3, 4",,"2,3, 4",,"2,3, 4",,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,"1.上課日期：7/3-7/29 日起週一、週三、週五上午都上課至課程結束2.需有2次檢定未通過證明 3.限本校應屆畢業生及延畢生選課 4.課程人數若達16人以上收取學分費1,960元，若未達16人教師鐘點費由選課學生自行分攤。請同學於6/24前至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請並於6/26前完成繳費程序。",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=GR&Cono=ME01,2026-08-26T18:18:27+00:00
107-3-IFD-A509-A-1-A,107,3,其他學程與教學單位,IFD,創新學院不分系,A509,A,大學部,1,A,史丹佛設計思考與科技創新,2,選,50,39,,11,張雅淨 連興隆 童士恒,C02-B104,"7,8","7,8","7,8","7,8",,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}]",,限本校大一新生選修。上課期間：自108年7月8日起至108年8月6日止(每週一~四第7~8節)。本課程成績及格者，給予學分，並計入通識學分,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=IFD&Cono=A509,2026-08-26T18:18:27+00:00
107-3-CE-C90C-A-3-A,107,3,工學院,CE,土木與環境工程學系,C90C,A,大學部,3,A,業界實習(3),3,選,3,3,,0,吳明淏,,X,,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""X""], ""raw"": ""X""}]",,"本課程屬第2類課程。實習總時數需達162小時。限土環系同學選修,請同學至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請作業。",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=CE&Cono=C90C,2026-08-26T18:18:27+00:00
107-3-CS-D603-A-4-A,107,3,工學院,CS,資訊工程學系,D603,A,大學部,4,A,業界實習(三),3,選,2,1,,1,黃健,,"5,6, 7",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""5"", ""6"", ""7""], ""raw"": ""5,6, 7""}]",,"本課程屬第2類課程。實習總時數需達162小時。限資工系同學選修,請同學至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請作業。",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=CS&Cono=D603,2026-08-26T18:18:27+00:00
107-3-EE-C900-A-3-A,107,3,工學院,EE,電機工程學系,C900,A,大學部,3,A,校外企業實習(一),3,選,3,2,,1,陳春僥 鄧卜華 吳松茂,,"2,3","2,3","2,3","2,3","2,3",,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}]",限修,本課程屬第二類課程。總實習時數需達162小時，由授課教師指定加簽。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=EE&Cono=C900,2026-08-26T18:18:27+00:00
107-3-EE-C900-A-3-B,107,3,工學院,EE,電機工程學系,C900,A,大學部,3,B,校外企業實習(一),3,選,3,2,,1,陳春僥 鄧卜華 吳松茂,,"2,3","2,3","2,3","2,3","2,3",,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}]",限修,本課程屬第二類課程。總實習時數需達162小時，由授課教師指定加簽。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=EE&Cono=C900,2026-08-26T18:18:27+00:00
107-3-FL-D900-A-3-A,107,3,法學院,FL,財經法律學系,D900,A,大學部,3,A,財經法律實習,2,選,0,1,,0,謝國廉,,"1,2","1,2","1,2","1,2","1,2",,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}]",,屬第二類課程，限通過學生校外實習面試學生選修。實習期間6/24-9/6，本課程總實習時數須達162小時以上。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=FL&Cono=D900,2026-08-26T18:18:27+00:00
107-3-FL-P531-F-1-,107,3,法學院,FL,財經法律學系,P531,F,大學部二年制在職專班,1,,政府採購法,2,選,60,34,,26,陳月端,L02-202,,,,,,,"5,6, 7,8","[{""day"": 7, ""dayName"": ""星期日"", ""periods"": [""5"", ""6"", ""7"", ""8""], ""raw"": ""5,6, 7,8""}]",,6/30-8/25每週日下午第5、6、7、8節。煩請修課同學於6/26前完成繳費及相關作業流程，並至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請作業。達16人以上依學期課程之學分費標準收取，未達16人平均分攤教師鐘點費，但平均每學分之學分費不得低於學期課程之學分費。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=FL&Cono=P531,2026-08-26T18:18:27+00:00
107-3-FL-Q541-F-1-,107,3,法學院,FL,財經法律學系,Q541,F,大學部二年制在職專班,1,,消費者保護法,2,選,61,57,,4,姚志明,L02-202,,,,,,,"1,2, 3,4","[{""day"": 7, ""dayName"": ""星期日"", ""periods"": [""1"", ""2"", ""3"", ""4""], ""raw"": ""1,2, 3,4""}]",,6/30-8/25每週日上午第1、2、3、4節。煩請修課同學於6/26日前完成繳費及相關作業流程，並至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請作業。達16人以上依學期課程之學分費標準收取，未達16人平均分攤教師鐘點費，但平均每學分之學分費不得低於學期課程之學分費。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=FL&Cono=Q541,2026-08-26T18:18:27+00:00
107-3-FL-F901-M-1-,107,3,法學院,FL,財經法律學系,F901,M,碩士班,1,,海外實習(一),3,選,16,16,,0,簡玉聰,,"3,4","3,4","3,4","3,4","3,4",,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,屬第二類課程，限日文特訓班學生選修。實習期間7/1-8/31，本課程總實習時數須達162小時以上。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=FL&Cono=F901,2026-08-26T18:18:27+00:00
107-3-AM-A500-A-1-A,107,3,理學院,AM,應用數學系,A500,A,大學部,1,A,基礎微積分,2,選,60,55,,5,施信宏,C02-407,"3,4","3,4","3,4","3,4",,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",,本課程屬大一新生暑期先修課程，限本校大一新生選修。上課期間：自108年7月8日起至108年8月6日止(每週一~四第3、4節)。本課程成績及格者，給予學分，並計入就讀學系（限亞太工商管理學系、金融管理學系、資訊管理學系、應用數學系、應用化學系、生命科學系、土木與環境工程學系、化學工程及材料工程學系等8學系）之最低畢業學分數內。其他學系不列入畢業學分，但仍歡迎選修。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=AM&Cono=A500,2026-08-26T18:18:27+00:00
107-3-AP-A500-A-1-A,107,3,理學院,AP,應用物理學系,A500,A,大學部,1,A,基礎物理,2,選,50,35,,15,余進忠,C02-407,"5,6","5,6","5,6","5,6",,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}, {""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",,本課程屬大一新生暑期先修課程，限本校大一新生選修。上課期間：自108年7月8日起至108年8月6日止(每週一~四第5~6節)。本課程成績及格者，給予學分，並計入就讀學系（限應用數學系、應用化學系、生命科學系、土木與環境工程學系、化學工程及材料工程學系等5學系）之最低畢業學分數內。其他學系不列入畢業學分，但仍歡迎選修。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=AP&Cono=A500,2026-08-26T18:18:27+00:00
107-3-AP-C02A-A-3-A,107,3,理學院,AP,應用物理學系,C02A,A,大學部,3,A,量子物理(一),3,必,50,16,,34,孫士傑,C02-30022,,"2,3, 4",2,2,2,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2""], ""raw"": ""2""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2""], ""raw"": ""2""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2""], ""raw"": ""2""}]",,"108.6.25開始每週二~五2,3,4節,請修課同學於6/23前完成繳費及相關作業流程，並至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請作業。達16人以上依學期課程之學分費標準收取，未達16人平均分攤教師鐘點費，但平均每學分之學分費不得低於學期課程之學分費。",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=AP&Cono=C02A,2026-08-26T18:18:27+00:00
107-3-AE-D900-A-3-A,107,3,管理學院,AE,應用經濟學系,D900,A,大學部,3,A,應用經濟實務實習(三),6,選,0,13,,0,蔡宗秀 鄭義暉 蔡佳妤,,"2,3, 4",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,本課程屬第二類課程。實習總時數需達324小時。限應經系同學選修。請同學至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請作業,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=AE&Cono=D900,2026-08-26T18:18:27+00:00
107-3-AE-F400-M-1-,107,3,管理學院,AE,應用經濟學系,F400,M,碩士班,1,,應用經濟實務實習,3,選,5,5,,0,翁銘章,,,"1,2, 3",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""1"", ""2"", ""3""], ""raw"": ""1,2, 3""}]",,本課程屬第二類課程。實習總時數需達324小時。限應經系同學選修。請同學至https://aca.nuk.edu.tw/CrosSel/main.htm進行學生暑修課程申請作業。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=AE&Cono=F400,2026-08-26T18:18:27+00:00
107-3-EBA-N011-E-1-,107,3,管理學院,EBA,高階經營管理碩士在職專班,N011,E,高階經營管理碩士在職專班,1,,高階經營管理專題,3,必,100,51,,49,楊書成 外校老師,L01-101,,,,,,"1,2, 3,4, 5,6",,"[{""day"": 6, ""dayName"": ""星期六"", ""periods"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6""], ""raw"": ""1,2, 3,4, 5,6""}]",,管院B102室，與82越南班、87泰國班、86海西班合開,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=EBA&Cono=N011,2026-08-26T18:18:27+00:00
107-3-EBA-N513-E-1-,107,3,管理學院,EBA,高階經營管理碩士在職專班,N513,E,高階經營管理碩士在職專班,1,,當代高階經營管理熱點議題(一),3,選,100,18,,82,楊書成 外校老師,M01-B102,,,,,,"7,8, 9","7,8, 9","[{""day"": 6, ""dayName"": ""星期六"", ""periods"": [""7"", ""8"", ""9""], ""raw"": ""7,8, 9""}, {""day"": 7, ""dayName"": ""星期日"", ""periods"": [""7"", ""8"", ""9""], ""raw"": ""7,8, 9""}]",,管院B102，與84法律班、82越南班、87泰國班、86海西班合開,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=EBA&Cono=N513,2026-08-26T18:18:27+00:00
107-3-EBA-N514-E-1-,107,3,管理學院,EBA,高階經營管理碩士在職專班,N514,E,高階經營管理碩士在職專班,1,,當代高階經營管理熱點議題(二),3,選,100,71,,29,楊書成 外校老師,M01-B102,,,,,"2,3, 4,5, 6,7",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""2,3, 4,5, 6,7""}]",,管院B102，與84法律班、82越南班、87泰國班、86海西班合開,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=EBA&Cono=N514,2026-08-26T18:18:27+00:00
107-3-LBA-O011-E-1-,107,3,管理學院,LBA,高階法律暨管理碩士在職專班,O011,E,高階經營管理碩士在職專班,1,,高階法律與管理專題,3,必,50,4,,46,楊書成 外校老師,M01-108,,,,,,,"1,2, 3,4, 5,6","[{""day"": 7, ""dayName"": ""星期日"", ""periods"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6""], ""raw"": ""1,2, 3,4, 5,6""}]",禁止外加,課程自7月1日起至8月30日止，上課教室：管院B102,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=107&Helf=3&Sclass=LBA&Cono=O011,2026-08-26T18:18:27+00:00
