id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
111-1-CCD-A010-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A010,A,大學部,1,A,素描,3,必,62,62,,0,賴廷鴻,H1--108,,"2,3, 4",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修及外加,教室-H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A010,2026-08-26T18:26:42+00:00
111-1-CCD-A011-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A011,A,大學部,1,A,色彩學,2,必,63,63,,0,洪碩延,H1--108,,,,"5,6",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修及外加,上課教室：H1-108教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A011,2026-08-26T18:26:42+00:00
111-1-CCD-A020-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A020,A,大學部,1,A,圖學,2,必,65,65,,0,翁群儀,H1--108,,"10,11",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""10"", ""11""], ""raw"": ""10,11""}]",限修及外加,H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A020,2026-08-26T18:26:42+00:00
111-1-CCD-A03A-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A03A,A,大學部,1,A,基礎雕塑(一)-A,3,必,32,32,,0,沈明旺,,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修及外加,教室-工坊木竹教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A03A,2026-08-26T18:26:42+00:00
111-1-CCD-A03B-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A03B,A,大學部,1,A,基礎雕塑(一)-B,3,必,33,33,,0,陳冠勳,,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修及外加,教室:工坊塑造教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A03B,2026-08-26T18:26:42+00:00
111-1-CCD-A04A-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A04A,A,大學部,1,A,基本造型構成(一),3,必,63,63,,0,黃裕宸,H1--108,,,,,"1,2, 3,4",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""1"", ""2"", ""3"", ""4""], ""raw"": ""1,2, 3,4""}]",限修及外加,教室:H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A04A,2026-08-26T18:26:42+00:00
111-1-CCD-A505-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A505,A,大學部,1,A,設計媒材(一),2,選,33,33,,0,賴廷鴻 王政弘,,,"6,7",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""6"", ""7""], ""raw"": ""6,7""}]",限修及外加,教室:大一工作室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A505,2026-08-26T18:26:42+00:00
111-1-CCD-A51A-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A51A,A,大學部,1,A,電腦繪圖-A,2,選,29,29,,0,王政弘,H1--112,,,,"7,8",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}]",限修及外加,H1-112，電腦繪圖-A、B擇一選修，請勿重複選課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A51A,2026-08-26T18:26:42+00:00
111-1-CCD-A51B-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A51B,A,大學部,1,A,電腦繪圖-B,2,選,29,28,,1,王政弘,H1--112,,,,"9,10",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""9"", ""10""], ""raw"": ""9,10""}]",限修及外加,H1-112，電腦繪圖-A、B擇一選修，請勿重複選課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A51B,2026-08-26T18:26:42+00:00
111-1-CCD-A522-A-1-A,111,1,人文社會科學院,CCD,工藝與創意設計學系,A522,A,大學部,1,A,模型製作(一),2,選,20,20,,0,翁群儀,H1--332,,,,,"5,6",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修及外加,H1-332,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=111&Helf=1&Sclass=CCD&Cono=A522,2026-08-26T18:26:42+00:00
