id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
094-3-KH-P541-F-1-,094,3,人文社會科學院,KH,運動健康與休閒學系,P541,F,大學部二年制在職專班,1,,木球,2,選,60,44,,16,張志成,,,,,,,"7,8, 9","7,8, 9","[{""day"": 6, ""dayName"": ""星期六"", ""periods"": [""7"", ""8"", ""9""], ""raw"": ""7,8, 9""}, {""day"": 7, ""dayName"": ""星期日"", ""periods"": [""7"", ""8"", ""9""], ""raw"": ""7,8, 9""}]",,7/1-8/6上課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=KH&Cono=P541,2026-08-26T18:02:22+00:00
094-3-GR-AC6A-A-1-A,094,3,共同與通識課程,GR,共同必修系列,AC6A,A,大學部,1,A,英語會話與閱讀(上)：中級班(低階C),2,必,16,4,,12,陳信智,C01-103,"2,3, 4",,"2,3, 4",,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,6/26-8/4上課，每星期一、三、五2.3.4上課。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=GR&Cono=AC6A,2026-08-26T18:02:22+00:00
094-3-CE-A01B-A-1-A,094,3,工學院,CE,土木與環境工程學系,A01B,A,大學部,1,A,微積分(二),3,必,30,21,,9,童士恒,C01-408,,"2,3","2,3","2,3",,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3""], ""raw"": ""2,3""}]",先修,7月4日開始上課，每星期二、三、四1-3節,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=CE&Cono=A01B,2026-08-26T18:02:22+00:00
094-3-GL-B05A-A-3-A,094,3,法學院,GL,政治法律學系,B05A,A,大學部,3,A,刑法分則(一),2,必,51,55,,0,黃翰義,L02-202,,,,,,"1,2, 3,4",,"[{""day"": 6, ""dayName"": ""星期六"", ""periods"": [""1"", ""2"", ""3"", ""4""], ""raw"": ""1,2, 3,4""}]",,7/8開始上課，週六1.2.3.4,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=GL&Cono=B05A,2026-08-26T18:02:22+00:00
094-3-GL-R121-F-2-,094,3,法學院,GL,政治法律學系,R121,F,大學部二年制在職專班,2,,刑事訴訟法(一),2,必,60,46,,14,吳俊毅,L02-103,,"10,11, 12",,"10,11, 12",,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""10"", ""11"", ""12""], ""raw"": ""10,11, 12""}, {""day"": 4, ""dayName"": ""星期四"", ""periods"": [""10"", ""11"", ""12""], ""raw"": ""10,11, 12""}]",限修,7/20-8/24上課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=GL&Cono=R121,2026-08-26T18:02:22+00:00
094-3-LA-R02A-F-3-,094,3,法學院,LA,法律學系,R02A,F,大學部二年制在職專班,3,,民事訴訟法(一),3,必,71,118,,0,林瑞成,L02-202,"10,11, 12",,"10,11, 12",,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""10"", ""11"", ""12""], ""raw"": ""10,11, 12""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""10"", ""11"", ""12""], ""raw"": ""10,11, 12""}]",,"7/10起開始上課,每星期一星期三10.11.12.13上課",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=LA&Cono=R02A,2026-08-26T18:02:22+00:00
094-3-LA-R591-F-3-,094,3,法學院,LA,法律學系,R591,F,大學部二年制在職專班,3,,社會保障法,2,選,71,90,,0,簡玉聰,L02-407,,,"9,10, 11,12, 12,13",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""9"", ""10"", ""11"", ""12"", ""12"", ""13""], ""raw"": ""9,10, 11,12, 12,13""}]",,"7/3-7/21上課,星期一星期三星期五晚上6:00-10:00",https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=LA&Cono=R591,2026-08-26T18:02:22+00:00
094-3-AP-A03A-A-1-A,094,3,理學院,AP,應用物理學系,A03A,A,大學部,1,A,普通物理學(一),3,必,61,27,,34,孫士傑,C02-102,"6,7, 8",,"6,7, 8",,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""6"", ""7"", ""8""], ""raw"": ""6,7, 8""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""6"", ""7"", ""8""], ""raw"": ""6,7, 8""}]",,星期一、三、五第6.7.8節上課/自7.5開始上課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=AP&Cono=A03A,2026-08-26T18:02:22+00:00
094-3-AP-A03B-A-1-A,094,3,理學院,AP,應用物理學系,A03B,A,大學部,1,A,普通物理學（二）,3,必,62,44,,18,余進忠,C02-103,,"2,3, 4,6, 7,8",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""2"", ""3"", ""4"", ""6"", ""7"", ""8""], ""raw"": ""2,3, 4,6, 7,8""}]",,星期二第2.3.4.6.7.8節上課/自7.11開始上課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=AP&Cono=A03B,2026-08-26T18:02:22+00:00
094-3-AP-B08A-A-2-A,094,3,理學院,AP,應用物理學系,B08A,A,大學部,2,A,電磁學(一),3,必,61,22,,39,胡裕民,C02-105,,,,"2,3, 4,6, 7,8",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4"", ""6"", ""7"", ""8""], ""raw"": ""2,3, 4,6, 7,8""}]",,星期四第2.3.4.6.7.8節上課/自7.6開始上課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=AP&Cono=B08A,2026-08-26T18:02:22+00:00
094-3-AP-C02A-A-3-A,094,3,理學院,AP,應用物理學系,C02A,A,大學部,3,A,量子物理(一),3,必,60,8,,52,孫士傑,C02-104,,,"2,3, 4",,"2,3, 4",,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 5, ""dayName"": ""星期五"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,星期一、三、五第2.3.4節上課/自7.5開始上課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=AP&Cono=C02A,2026-08-26T18:02:22+00:00
094-3-AP-C02B-A-3-A,094,3,理學院,AP,應用物理學系,C02B,A,大學部,3,A,量子物理(二),3,必,60,0,,60,孫士傑,C02-104,,,,,,"2,3, 4,5, 6,7",,"[{""day"": 6, ""dayName"": ""星期六"", ""periods"": [""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""2,3, 4,5, 6,7""}]",,星期六第2.3.4.6.7.8節上課/自7.5開始上課,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=AP&Cono=C02B,2026-08-26T18:02:22+00:00
094-3-LS-B101-A-2-A,094,3,理學院,LS,生命科學系,B101,A,大學部,2,A,有機化學,3,必,41,33,,8,張夢揚,C02-108,"2,3, 4",,"2,3, 4",,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}, {""day"": 3, ""dayName"": ""星期三"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",,每星期二三四第2.3.4節上課，7/28-8/31授課‧(應化系學生不得選修),https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=LS&Cono=B101,2026-08-26T18:02:22+00:00
094-3-EM-F011-M-1-,094,3,管理學院,EM,經營管理研究所,F011,M,碩士班,1,,數量方法,3,必,16,6,,10,李揚,L02-408,"2,3, 4,5, 6,7",,,,,,,"[{""day"": 1, ""dayName"": ""星期一"", ""periods"": [""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""raw"": ""2,3, 4,5, 6,7""}]",,7/3-7/18上課，上課時間：星期一2.3.4.5.6.7、星期二2.3.4.5.6.7、星期三2.3.4.5.6.7、星期四5.6.7、星期五2.3.4。,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=094&Helf=3&Sclass=EM&Cono=F011,2026-08-26T18:02:22+00:00
