id,year,semester,college,department,departmentName,courseId,division,divisionName,grade,className,courseName,credits,courseType,capacity,confirmed,enrolled,remaining,teacher,classroom,monday,tuesday,wednesday,thursday,friday,saturday,sunday,scheduleJson,restrictions,notes,detailUrl,fetchedAtUtc
103-2-CDA-A013-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A013,A,大學部,1,A,美學,2,必,60,57,,3,朱能榮,H1--107,,,,,"1,2",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""1"", ""2""], ""raw"": ""1,2""}]",限修,創設組必修 教室-H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A013,2026-08-26T18:12:12+00:00
103-2-CDA-A042-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A042,A,大學部,1,A,設計素描,2,必,60,57,,3,康錦樹,,,,"10,11, 12",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""10"", ""11"", ""12""], ""raw"": ""10,11, 12""}]",限修,教室-創建系工坊素描教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A042,2026-08-26T18:12:12+00:00
103-2-CDA-A05A-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A05A,A,大學部,1,A,基本設計(二)A,3,必,30,25,,5,林光浩,H1--108,,,,"5,6, 7,8, 9,10",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6"", ""7"", ""8"", ""9"", ""10""], ""raw"": ""5,6, 7,8, 9,10""}]",先修,教室：h1-108圖學教室，林光浩老師,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A05A,2026-08-26T18:12:12+00:00
103-2-CDA-A05B-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A05B,A,大學部,1,A,基本設計(二)B,3,必,31,30,,1,許亦成,H1--108,,,,"5,6, 7,8, 9,10",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""5"", ""6"", ""7"", ""8"", ""9"", ""10""], ""raw"": ""5,6, 7,8, 9,10""}]",先修 限修及外加,教室-H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A05B,2026-08-26T18:12:12+00:00
103-2-CDA-A06A-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A06A,A,大學部,1,A,基礎雕塑(二)-A,2,必,30,29,,1,沈明旺,,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,創設組必修 教室-木竹工坊,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A06A,2026-08-26T18:12:12+00:00
103-2-CDA-A06B-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A06B,A,大學部,1,A,基礎雕塑(二)-B,2,必,35,27,,8,康錦樹,,,,,"2,3, 4",,,,"[{""day"": 4, ""dayName"": ""星期四"", ""periods"": [""2"", ""3"", ""4""], ""raw"": ""2,3, 4""}]",限修,創設組必修 教室-塑造教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A06B,2026-08-26T18:12:12+00:00
103-2-CDA-A501-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A501,A,大學部,1,A,電腦繪圖,2,選,54,44,,10,王政弘,L01-108,,,,,"5,6",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",限修及外加,建議同學選修此課程 ；圖資大樓-108電腦教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A501,2026-08-26T18:12:12+00:00
103-2-CDA-A51B-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A51B,A,大學部,1,A,模型製作(二),2,選,22,10,,12,翁群儀,,,,,,"7,8",,,"[{""day"": 5, ""dayName"": ""星期五"", ""periods"": [""7"", ""8""], ""raw"": ""7,8""}]",限修,教室-創建系工坊大型機具室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A51B,2026-08-26T18:12:12+00:00
103-2-CDA-A521-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A521,A,大學部,1,A,產品表現技法,2,選,43,37,,6,賴廷鴻,H1--108,,,"3,4",,,,,"[{""day"": 3, ""dayName"": ""星期三"", ""periods"": [""3"", ""4""], ""raw"": ""3,4""}]",限修及外加,教室-H1-108,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A521,2026-08-26T18:12:12+00:00
103-2-CDA-A522-A-1-A,103,2,人文社會科學院,CDA,創意設計與建築學系,A522,A,大學部,1,A,建築設計表現法,2,選,31,31,,0,李榮裕,H1--108,,"5,6",,,,,,"[{""day"": 2, ""dayName"": ""星期二"", ""periods"": [""5"", ""6""], ""raw"": ""5,6""}]",外加,教室：h1-108圖學教室,https://course.nuk.edu.tw/QueryCourse/tcontent.asp?OpenYear=103&Helf=2&Sclass=CDA&Cono=A522,2026-08-26T18:12:12+00:00
